rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
34,NB_FP_0171.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0171.pdb,True,0,-10.3,2.9e-08,47,0.0,6.0,7.0,3.0,22.0,9.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0171_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 9.0
[+] Percentage of apolar NIS residues: 43.62
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):    -10.3
[++] Predicted dissociation constant (M) at 25.0˚C:  2.9e-08
",
35,NB_FP_0100.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0100.pdb,True,0,-10.2,3.2e-08,54,0.0,4.0,5.0,1.0,20.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0100_model0
[+] No. of intermolecular contacts: 54
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 42.99
[+] Percentage of charged NIS residues: 18.39
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.2e-08
",
36,NB_FP_0164.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0164.pdb,True,0,-10.2,3.3e-08,67,4.0,8.0,13.0,3.0,18.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0164_model0
[+] No. of intermolecular contacts: 67
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 13.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 44.29
[+] Percentage of charged NIS residues: 19.11
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-08
",
37,NB_FP_0259.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0259.pdb,True,0,-10.2,3.3e-08,60,1.0,3.0,6.0,6.0,24.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0259_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.48
[+] Percentage of charged NIS residues: 18.76
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.3e-08
",
38,NB_FP_0040.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0040.pdb,True,0,-10.2,3.1e-08,66,0.0,9.0,12.0,4.0,21.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0040_model0
[+] No. of intermolecular contacts: 66
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 44.55
[+] Percentage of charged NIS residues: 18.56
[++] Predicted binding affinity (kcal.mol-1):    -10.2
[++] Predicted dissociation constant (M) at 25.0˚C:  3.1e-08
",
39,NB_FP_0102.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0102.pdb,True,0,-10.1,4.2e-08,61,0.0,6.0,6.0,6.0,24.0,19.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0102_model0
[+] No. of intermolecular contacts: 61
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 19.0
[+] Percentage of apolar NIS residues: 43.56
[+] Percentage of charged NIS residues: 18.97
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.2e-08
",
40,NB_FP_0095.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0095.pdb,True,0,-10.1,4.2e-08,52,2.0,6.0,11.0,2.0,17.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0095_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.02
[+] Percentage of charged NIS residues: 18.84
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.2e-08
",
41,NB_FP_0046.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0046.pdb,True,0,-10.1,3.6e-08,59,2.0,10.0,11.0,1.0,17.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0046_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.55
[+] Percentage of charged NIS residues: 18.89
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  3.6e-08
",
42,NB_FP_0129.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0129.pdb,True,0,-10.1,4.1e-08,60,2.0,12.0,8.0,5.0,21.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0129_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 12.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.22
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.1e-08
",
43,NB_FP_0145.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0145.pdb,True,0,-10.1,4.1e-08,60,3.0,3.0,9.0,7.0,22.0,16.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0145_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 16.0
[+] Percentage of apolar NIS residues: 43.51
[+] Percentage of charged NIS residues: 18.45
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.1e-08
",
44,NB_FP_0017.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0017.pdb,True,0,-10.1,4.1e-08,60,0.0,5.0,3.0,9.0,28.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0017_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 9.0
[+] No. of apolar-polar contacts: 28.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 43.93
[+] Percentage of charged NIS residues: 18.46
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  4.1e-08
",
45,NB_FP_0281.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0281.pdb,True,0,-10.1,3.9e-08,53,0.0,5.0,5.0,2.0,21.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0281_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.72
[+] Percentage of charged NIS residues: 18.37
[++] Predicted binding affinity (kcal.mol-1):    -10.1
[++] Predicted dissociation constant (M) at 25.0˚C:  3.9e-08
",
46,NB_FP_0037.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0037.pdb,True,0,-10.0,4.8e-08,38,0.0,1.0,3.0,5.0,23.0,6.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0037_model0
[+] No. of intermolecular contacts: 38
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 6.0
[+] Percentage of apolar NIS residues: 42.76
[+] Percentage of charged NIS residues: 18.16
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-08
",
47,NB_FP_0264.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0264.pdb,True,0,-10.0,5.0e-08,71,1.0,7.0,7.0,9.0,25.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0264_model0
[+] No. of intermolecular contacts: 71
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 9.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 43.56
[+] Percentage of charged NIS residues: 18.50
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  5.0e-08
",
48,NB_FP_0022.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0022.pdb,True,0,-10.0,4.5e-08,63,0.0,11.0,10.0,3.0,19.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0022_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 11.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 42.79
[+] Percentage of charged NIS residues: 19.22
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.5e-08
",
49,NB_FP_0287.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0287.pdb,True,0,-10.0,4.3e-08,55,1.0,3.0,5.0,4.0,22.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0287_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 22.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 43.65
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.3e-08
",
50,NB_FP_0081.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0081.pdb,True,0,-10.0,4.8e-08,59,2.0,4.0,6.0,8.0,25.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0081_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.75
[+] Percentage of charged NIS residues: 19.44
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-08
",
51,NB_FP_0203.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0203.pdb,True,0,-10.0,4.4e-08,57,7.0,1.0,15.0,3.0,14.0,17.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0203_model0
[+] No. of intermolecular contacts: 57
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 1.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 17.0
[+] Percentage of apolar NIS residues: 43.49
[+] Percentage of charged NIS residues: 18.37
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.4e-08
",
52,NB_FP_0158.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0158.pdb,True,0,-10.0,4.8e-08,40,0.0,5.0,5.0,3.0,21.0,6.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0158_model0
[+] No. of intermolecular contacts: 40
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 6.0
[+] Percentage of apolar NIS residues: 43.36
[+] Percentage of charged NIS residues: 18.41
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-08
",
53,NB_FP_0144.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0144.pdb,True,0,-10.0,4.3e-08,59,2.0,4.0,12.0,6.0,20.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0144_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 43.22
[+] Percentage of charged NIS residues: 18.62
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.3e-08
",
54,NB_FP_0159.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0159.pdb,True,0,-10.0,4.5e-08,60,0.0,9.0,7.0,6.0,23.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0159_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 42.99
[+] Percentage of charged NIS residues: 19.08
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.5e-08
",
55,NB_FP_0125.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0125.pdb,True,0,-10.0,4.8e-08,64,0.0,7.0,9.0,5.0,21.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0125_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 43.19
[+] Percentage of charged NIS residues: 18.71
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.8e-08
",
56,NB_FP_0134.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0134.pdb,True,0,-10.0,4.4e-08,61,1.0,7.0,8.0,3.0,20.0,22.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0134_model0
[+] No. of intermolecular contacts: 61
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 22.0
[+] Percentage of apolar NIS residues: 43.75
[+] Percentage of charged NIS residues: 18.75
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.4e-08
",
57,NB_FP_0051.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0051.pdb,True,0,-10.0,4.7e-08,46,3.0,7.0,7.0,1.0,18.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0051_model0
[+] No. of intermolecular contacts: 46
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 43.78
[+] Percentage of charged NIS residues: 19.12
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.7e-08
",
58,NB_FP_0003.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0003.pdb,True,0,-10.0,4.6e-08,63,1.0,5.0,12.0,1.0,17.0,27.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0003_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 27.0
[+] Percentage of apolar NIS residues: 44.26
[+] Percentage of charged NIS residues: 18.97
[++] Predicted binding affinity (kcal.mol-1):    -10.0
[++] Predicted dissociation constant (M) at 25.0˚C:  4.6e-08
",
